Model,MSE,R2
Linear,3.7819425664758466,0.9637162510918287
Poly_2,0.5389301483355439,0.9948295338076824
Poly_3,0.22362485911343324,0.9978545554050394
Poly_4,0.20810177264729618,0.9980034830425477
Poly_5,0.2389271677188464,0.9977077458981802
